...1,Sample,Exp1,Exp2,Mean,Difference,Outlier,Label
2580,5846532,8.27,6.45,7.36,1.82,FALSE,NA
2590,5986351,-9.76,-9.38,-9.57,-0.374,FALSE,NA
2590,6553260,13.9,10.9,12.4,3,FALSE,NA
2590,4746835,-16,-11,-13.5,-5.07,FALSE,NA
2590,9453845,-4.92,-3.33,-4.13,-1.6,FALSE,NA
2590,1864515,19.1,16.3,17.7,2.85,FALSE,NA
2590,6945537,-15.9,-16.6,-16.2,0.758,FALSE,NA
2590,8676997,9.9,2.22,6.06,7.68,FALSE,NA
2590,7783675,21.3,23.3,22.3,-1.98,FALSE,NA
2590,8143881,10.2,2.81,6.49,7.36,FALSE,NA
2600,9342953,-11.5,-25,-18.3,13.5,TRUE,9342953
2600,7422864,7.84,4.3,6.07,3.54,FALSE,NA
2600,4170680,-17.2,-12.1,-14.6,-5.17,FALSE,NA
2600,5434246,16.9,19.9,18.4,-3.04,FALSE,NA
2600,7353804,17.2,23.5,20.3,-6.29,FALSE,NA
2600,6802747,0.215,-0.375,-0.0798,0.59,FALSE,NA
2600,1783134,18.5,21.6,20,-3.06,FALSE,NA
2600,9093786,2.69,2.38,2.54,0.307,FALSE,NA
2600,1775112,3.6,8.55,6.07,-4.96,FALSE,NA
2600,4809869,-7.66,-8.24,-7.95,0.574,FALSE,NA
2600,9869214,-10.1,-7.07,-8.6,-3.06,FALSE,NA
2610,6753982,10.1,9,9.53,1.07,FALSE,NA
2610,3200160,-0.341,2.82,1.24,-3.16,FALSE,NA
2610,5208516,-2.85,-8.42,-5.64,5.57,FALSE,NA
2610,3521920,-3,-4.72,-3.86,1.72,FALSE,NA
2610,8888976,13.9,9.49,11.7,4.36,FALSE,NA
2610,9028371,12.2,14.9,13.5,-2.7,FALSE,NA
2610,8498072,-12.7,-8.13,-10.4,-4.59,FALSE,NA
2610,4180067,-15.3,-11,-13.2,-4.28,FALSE,NA
2610,3914104,14.3,21.9,18.1,-7.55,FALSE,NA
2620,8383137,-13.4,-13.4,-13.4,0.0549,FALSE,NA
2620,4489198,10.1,5.94,8.01,4.15,FALSE,NA
2620,8786165,-23.6,-23.6,-23.6,-0.0195,FALSE,NA
2620,1334883,-17.8,-19.2,-18.5,1.37,FALSE,NA
2620,9343032,8.84,5.58,7.21,3.26,FALSE,NA
2620,9183063,-11.3,-4.69,-7.97,-6.56,FALSE,NA
2620,1239210,-2.82,-10.9,-6.86,8.07,FALSE,NA
2620,9995655,-10.5,-15.6,-13,5.14,FALSE,NA
2620,8363778,-23.1,-11.7,-17.4,-11.3,FALSE,NA
2620,8577894,-5.02,-5.09,-5.06,0.073,FALSE,NA
2620,1135550,12.3,16.8,14.6,-4.54,FALSE,NA
2630,6336240,-11,0.903,-5.04,-11.9,TRUE,6336240
2630,6208069,-2.93,5.48,1.28,-8.41,FALSE,NA
2630,8703309,-17.4,-20.8,-19.1,3.35,FALSE,NA
2630,4188127,-0.501,-5.51,-3,5.01,FALSE,NA
2630,9110045,12.3,23.2,17.7,-10.9,FALSE,NA
2630,4812282,-4.88,-0.595,-2.74,-4.29,FALSE,NA
2630,4027637,16.3,17.4,16.8,-1.13,FALSE,NA
2630,2922807,-14.9,-8.29,-11.6,-6.6,FALSE,NA
2630,2354823,17.7,18.3,18,-0.606,FALSE,NA
2640,9148679,2.24,5.06,3.65,-2.82,FALSE,NA
2640,6822990,-5.11,-5.26,-5.19,0.148,FALSE,NA
2640,7453373,-15.7,-19,-17.4,3.35,FALSE,NA
2640,7899090,2.25,14,8.14,-11.8,TRUE,7899090
2640,2050243,15.7,9.66,12.7,6.08,FALSE,NA
2640,1431517,12.5,18.8,15.6,-6.32,FALSE,NA
2640,8397592,-7.7,-16.8,-12.3,9.11,FALSE,NA
2640,9045126,3.08,6.44,4.76,-3.36,FALSE,NA
2640,9357549,9.05,15.2,12.1,-6.18,FALSE,NA
2640,4005058,3.69,3.44,3.57,0.258,FALSE,NA
2640,8968508,4.79,-5.82,-0.511,10.6,FALSE,NA
2650,6704312,-14,-8.83,-11.4,-5.15,FALSE,NA
2650,9526527,7.79,1.79,4.79,6,FALSE,NA
2650,5931086,-4.41,-5.73,-5.07,1.32,FALSE,NA
2650,9307314,-15.3,-18.7,-17,3.4,FALSE,NA
2650,2507132,-2.78,-0.328,-1.55,-2.45,FALSE,NA
2650,3749423,-18.4,-14.3,-16.3,-4.03,FALSE,NA
2650,3877108,-18.9,-14.2,-16.5,-4.7,FALSE,NA
2650,5115216,-16.5,-10,-13.3,-6.49,FALSE,NA
2650,9792627,8.06,5.2,6.63,2.86,FALSE,NA
2660,9298920,7.98,11.9,9.96,-3.97,FALSE,NA
2660,8369492,-7.24,-2.57,-4.9,-4.67,FALSE,NA
2660,4849199,15.4,13.4,14.4,1.93,FALSE,NA
2660,3389420,-7.77,-6.12,-6.95,-1.64,FALSE,NA
2660,6576556,-3.64,4.16,0.259,-7.79,FALSE,NA
2660,2171216,9.39,1.2,5.3,8.19,FALSE,NA
2660,8651997,-2.6,1.87,-0.365,-4.46,FALSE,NA
2660,2994287,19.5,15.8,17.7,3.69,FALSE,NA
2660,1778160,5.36,2.72,4.04,2.64,FALSE,NA
2660,1497530,11.6,5.78,8.67,5.79,FALSE,NA
2660,3348754,2.03,-1.73,0.153,3.76,FALSE,NA
2670,9502138,-10.2,-1.61,-5.89,-8.56,FALSE,NA
2670,9286931,22.6,20.1,21.4,2.49,FALSE,NA
2670,5233003,-1.25,-10.8,-6.01,9.51,FALSE,NA
2670,7474563,17.4,14.2,15.8,3.17,FALSE,NA
2670,1667148,-1.93,-2.59,-2.26,0.667,FALSE,NA
2670,3787172,3.27,2.28,2.78,0.993,FALSE,NA
2670,8794062,-21,-15.9,-18.5,-5.11,FALSE,NA
2670,4319043,-6.73,-5.29,-6.01,-1.45,FALSE,NA
2670,5139624,15.3,13.8,14.6,1.51,FALSE,NA
2680,3741335,18.4,11.2,14.8,7.16,FALSE,NA
2680,2995865,12,16,14,-4.05,FALSE,NA
2680,3198344,-11,-8.15,-9.59,-2.89,FALSE,NA
2680,2414805,12,9.98,11,2.02,FALSE,NA
2680,5947356,2.36,-2.9,-0.272,5.26,FALSE,NA
2680,1146602,9.2,8.86,9.03,0.334,FALSE,NA
2680,1336054,13.7,15,14.4,-1.24,FALSE,NA
2680,7326496,-4.53,-6.33,-5.43,1.8,FALSE,NA
2680,2443324,-2.88,-4.62,-3.75,1.73,FALSE,NA
2680,8818011,11.9,14.4,13.1,-2.55,FALSE,NA
2680,3509459,4.64,6.76,5.7,-2.12,FALSE,NA
2690,6411761,-12.4,-14.7,-13.6,2.26,FALSE,NA
2690,8911730,-1.95,-1.1,-1.53,-0.852,FALSE,NA
2690,1874907,-1.27,-2.55,-1.91,1.29,FALSE,NA
2690,7763888,-4.74,0.181,-2.28,-4.92,FALSE,NA
2690,6852252,9.43,16.2,12.8,-6.75,FALSE,NA
2690,5752833,-12.3,-5.96,-9.14,-6.38,FALSE,NA
2690,5589465,23,20.7,21.8,2.29,FALSE,NA
2690,5892631,15.7,16.8,16.3,-1.11,FALSE,NA
2690,9643496,-14.1,-15.2,-14.6,1.06,FALSE,NA
2700,5012508,9.39,6.84,8.12,2.56,FALSE,NA
2700,5975819,-17.1,-17,-17.1,-0.111,FALSE,NA
2700,4016621,-5.68,-3.99,-4.84,-1.69,FALSE,NA
2700,7699905,0.21,-4.3,-2.05,4.51,FALSE,NA
2700,6745961,19.8,16.4,18.1,3.46,FALSE,NA
2700,7788160,22.9,18.3,20.6,4.58,FALSE,NA
2700,8603562,5.36,3.73,4.55,1.63,FALSE,NA
2700,4250111,-3.43,-13.5,-8.48,10.1,FALSE,NA
2700,4732065,-8.59,-9.96,-9.27,1.37,FALSE,NA
2700,3195804,6.27,8.13,7.2,-1.86,FALSE,NA
2700,4348067,-11.7,-13.5,-12.6,1.77,FALSE,NA
2710,1016811,-1.4,0.00547,-0.699,-1.41,FALSE,NA
2710,7310920,-5.53,-16.9,-11.2,11.4,FALSE,NA
2710,2327270,-20.5,-14.6,-17.5,-5.97,FALSE,NA
2710,1837985,12,15.6,13.8,-3.62,FALSE,NA
2710,1945742,5.58,1.17,3.38,4.41,FALSE,NA
2710,3845291,-2.96,-4.39,-3.67,1.43,FALSE,NA
2710,3989686,-9.19,-7.3,-8.25,-1.88,FALSE,NA
2710,8821337,-16.7,-10.9,-13.8,-5.87,FALSE,NA
2710,8582224,-14.7,-17.5,-16.1,2.8,FALSE,NA
2720,8126440,-20.4,-13.9,-17.1,-6.56,FALSE,NA
2720,8664703,6.52,5.66,6.09,0.856,FALSE,NA
2720,4529212,-6.85,-7.02,-6.93,0.174,FALSE,NA
2720,1254941,9.33,10.7,10,-1.38,FALSE,NA
2720,4319668,0.322,4.76,2.54,-4.44,FALSE,NA
2720,9075069,-8.96,7.32,-0.817,-16.3,TRUE,9075069
2720,5110661,18.5,16.3,17.4,2.22,FALSE,NA
2720,9398805,-17.4,-14.4,-15.9,-3.04,FALSE,NA
2720,7345436,11.6,17.1,14.4,-5.43,FALSE,NA
2720,1797419,6.7,-1.29,2.71,7.99,FALSE,NA
2720,6531212,-14,-7.88,-10.9,-6.13,FALSE,NA
2730,2380972,15.6,14.8,15.2,0.766,FALSE,NA
2730,1157597,-15.2,-14.4,-14.8,-0.724,FALSE,NA
2730,7446555,-12.3,-14.9,-13.6,2.63,FALSE,NA
2730,4701869,13.2,10.7,11.9,2.53,FALSE,NA
2730,3508417,8.85,5.89,7.37,2.97,FALSE,NA
2730,8744935,-6.31,0.361,-2.97,-6.67,FALSE,NA
2730,7358505,-15.5,-7.99,-11.7,-7.5,FALSE,NA
2730,8722742,-0.192,-2.98,-1.59,2.79,FALSE,NA
2730,9684613,-1.43,2.17,0.366,-3.6,FALSE,NA
2740,1727644,0.143,2.49,1.32,-2.34,FALSE,NA
2740,3401454,-20.8,-18.4,-19.6,-2.36,FALSE,NA
2740,8062453,-2.22,-10,-6.11,7.78,FALSE,NA
2740,7877441,-14.3,-13.3,-13.8,-1.03,FALSE,NA
2740,8367387,17.7,21.3,19.5,-3.57,FALSE,NA
2740,8636927,-1.72,2.94,0.613,-4.66,FALSE,NA
2740,7203687,-1.51,-1.97,-1.74,0.454,FALSE,NA
2740,9653558,1.29,-3.64,-1.17,4.94,FALSE,NA
2740,8984877,-21.6,-18.3,-20,-3.22,FALSE,NA
2740,5902578,-5.27,-14.2,-9.75,8.96,FALSE,NA
2740,5915195,15.2,10.6,12.9,4.6,FALSE,NA
2750,6987214,11.6,11.8,11.7,-0.18,FALSE,NA
2750,7060358,-9.25,-12,-10.6,2.75,FALSE,NA
2750,7176096,-1.47,-6.43,-3.95,4.96,FALSE,NA
2750,9664797,14.2,13.1,13.7,1.09,FALSE,NA
2750,4332235,-1.63,2.81,0.588,-4.44,FALSE,NA
2750,7464135,21.3,15.7,18.5,5.58,FALSE,NA
2750,4868503,-3.02,-0.292,-1.65,-2.72,FALSE,NA
2750,5614229,-9.45,2.54,-3.45,-12,TRUE,5614229
2750,1174464,4.77,11.3,8.02,-6.51,FALSE,NA
2760,8016786,6.84,10.6,8.73,-3.77,FALSE,NA
2760,7379482,1.3,9.6,5.45,-8.31,FALSE,NA
2760,5210997,-6.45,-6.39,-6.42,-0.0575,FALSE,NA
2760,9017060,1.89,-2.9,-0.502,4.79,FALSE,NA
2760,5169831,3.59,8.35,5.97,-4.77,FALSE,NA
2760,1357902,-3.96,7.64,1.84,-11.6,FALSE,NA
2760,9076203,-16.2,-15.5,-15.8,-0.683,FALSE,NA
2760,7626721,-6.43,-3.16,-4.79,-3.28,FALSE,NA
2760,7821731,7.18,7.29,7.24,-0.114,FALSE,NA
2760,1145520,-14.5,-21.2,-17.8,6.73,FALSE,NA
2760,4732008,-7.99,-8.85,-8.42,0.863,FALSE,NA
2770,5001475,-3.14,4.74,0.797,-7.88,FALSE,NA
2770,9031067,8.21,7.86,8.04,0.351,FALSE,NA
2770,7061974,15.8,17.6,16.7,-1.82,FALSE,NA
2770,7530230,-16.8,-13.3,-15,-3.52,FALSE,NA
2770,7079054,-8.3,-5.14,-6.72,-3.16,FALSE,NA
2770,2100325,0.994,4.21,2.6,-3.22,FALSE,NA
2770,6386447,-9.87,-11.2,-10.5,1.31,FALSE,NA
2770,2102743,2.02,5.75,3.88,-3.73,FALSE,NA
2770,1696638,8.92,9.68,9.3,-0.754,FALSE,NA
2780,8088930,22.4,13.9,18.2,8.49,FALSE,NA
2780,4212931,-9.3,-22.4,-15.8,13.1,TRUE,4212931
2780,1882033,1.57,-3.64,-1.04,5.22,FALSE,NA
2780,9413674,-14.1,-9.97,-12,-4.12,FALSE,NA
2780,7663137,-4.78,3.82,-0.48,-8.61,FALSE,NA
2780,9818961,-25.2,-17.3,-21.3,-7.83,FALSE,NA
2780,5077676,5.41,10.6,7.99,-5.17,FALSE,NA
2780,7070049,22.2,17.8,20,4.37,FALSE,NA
2780,3152063,-8.47,-12.9,-10.7,4.38,FALSE,NA
2780,2239769,6.07,6.93,6.5,-0.854,FALSE,NA
2780,9104424,17.8,11.3,14.6,6.51,FALSE,NA
2790,8037196,-11.7,-10.3,-11,-1.45,FALSE,NA
2790,4745491,-16.1,-11.9,-14,-4.21,FALSE,NA
2790,6824286,-18.5,-19.3,-18.9,0.737,FALSE,NA
2790,4141244,5.29,4.79,5.04,0.509,FALSE,NA
2790,3227190,1.88,-6.59,-2.36,8.46,FALSE,NA
2790,3307299,0.572,-1.78,-0.605,2.35,FALSE,NA
2790,6758646,7.18,10.4,8.8,-3.24,FALSE,NA
2790,6715263,2.27,12.2,7.25,-9.96,FALSE,NA
2790,6912596,11.4,6.44,8.94,5.01,FALSE,NA
2800,1800806,-11,-14.5,-12.8,3.51,FALSE,NA
2800,6737431,1.47,0.18,0.824,1.29,FALSE,NA
2800,3081607,15.5,8.22,11.9,7.28,FALSE,NA
2800,5883711,-8.67,-3.73,-6.2,-4.94,FALSE,NA
2800,5364493,11.2,13.5,12.4,-2.35,FALSE,NA
2800,7665513,-10.1,-12.5,-11.3,2.41,FALSE,NA
2800,3595088,17.4,9.79,13.6,7.59,FALSE,NA
2800,5054627,11,5.16,8.08,5.84,FALSE,NA
2800,9059589,18.1,15.3,16.7,2.8,FALSE,NA
2800,1311712,4.92,17.4,11.2,-12.5,TRUE,1311712
2800,5974581,-25.2,-20.7,-23,-4.52,FALSE,NA
2810,8894453,11.6,19.8,15.7,-8.21,FALSE,NA
2810,3908096,7.29,3.34,5.31,3.95,FALSE,NA
2810,3453322,4.36,-0.759,1.8,5.11,FALSE,NA
2810,4739860,-12.1,-7.22,-9.68,-4.91,FALSE,NA
2810,7740918,-6.92,-3.38,-5.15,-3.54,FALSE,NA
2810,1549580,3.78,11.5,7.64,-7.73,FALSE,NA
2810,7784166,11.4,14,12.7,-2.63,FALSE,NA
2810,9296802,-11.8,-15.9,-13.8,4.11,FALSE,NA
2810,9113483,-5.07,0.932,-2.07,-6,FALSE,NA
2820,1995163,7.35,7.78,7.57,-0.437,FALSE,NA
2820,5473815,1.98,5.9,3.94,-3.92,FALSE,NA
2820,2195614,12.8,14.8,13.8,-2,FALSE,NA
2820,4203970,9.2,8.94,9.07,0.257,FALSE,NA
2820,6486041,6.4,15.9,11.1,-9.47,FALSE,NA
2820,3669390,6.84,-0.368,3.24,7.21,FALSE,NA
2820,2009266,2.55,-0.569,0.989,3.12,FALSE,NA
2820,3767727,7.86,9.8,8.83,-1.94,FALSE,NA
2820,4500257,21.1,13.3,17.2,7.89,FALSE,NA
2820,5266766,-1.17,-6.23,-3.7,5.06,FALSE,NA
2820,6002178,-18.1,-21.4,-19.7,3.3,FALSE,NA
2830,7617827,11.7,7.85,9.76,3.81,FALSE,NA
2830,5796653,-2.51,-6.13,-4.32,3.62,FALSE,NA
2830,1565221,-20.1,-13,-16.6,-7.08,FALSE,NA
2830,4582740,14.8,17.8,16.3,-2.99,FALSE,NA
2830,2138347,-2.86,-0.812,-1.84,-2.05,FALSE,NA
2830,7023119,4.18,-2.55,0.816,6.72,FALSE,NA
2830,6713378,-14,-16.7,-15.3,2.69,FALSE,NA
2830,8081329,-1.04,2.72,0.839,-3.75,FALSE,NA
2830,4259070,18.8,9.99,14.4,8.77,FALSE,NA
2840,2543113,15.3,8.22,11.8,7.09,FALSE,NA
2840,2779517,-14.9,-20.6,-17.8,5.68,FALSE,NA
2840,4227817,-15.6,-6.12,-10.8,-9.43,FALSE,NA
2840,7940685,-1.55,-1.85,-1.7,0.305,FALSE,NA
2840,6623240,-16,-12.6,-14.3,-3.41,FALSE,NA
2840,1069998,-1.28,-2.38,-1.83,1.1,FALSE,NA
2840,3953607,-22.1,-15.5,-18.8,-6.55,FALSE,NA
2840,4118623,-9.45,-11.8,-10.6,2.39,FALSE,NA
2840,7436638,-10.9,-12.9,-11.9,2.08,FALSE,NA
2840,9494484,0.378,1.05,0.714,-0.672,FALSE,NA
2840,6159723,-1.04,2.66,0.81,-3.7,FALSE,NA
2850,8853393,-19.7,-10.2,-14.9,-9.57,FALSE,NA
2850,6666967,-8.19,-11.6,-9.89,3.4,FALSE,NA
2850,2525412,-2.93,4.33,0.702,-7.26,FALSE,NA
2850,9601254,-17.3,-16.4,-16.8,-0.928,FALSE,NA
2850,1373305,12.5,11.9,12.2,0.615,FALSE,NA
2850,8054851,-4.81,-6.91,-5.86,2.1,FALSE,NA
2850,8412206,-11.9,-5.93,-8.93,-5.99,FALSE,NA
2850,6102500,-9.05,-10.4,-9.72,1.33,FALSE,NA
2850,6543324,-1.89,-3.38,-2.63,1.49,FALSE,NA
2860,9051587,11.4,6.11,8.76,5.3,FALSE,NA
2860,7461306,13.6,8.31,10.9,5.27,FALSE,NA
2860,9087020,-6.22,-5.44,-5.83,-0.773,FALSE,NA
2860,2901452,13.4,17.5,15.5,-4.09,FALSE,NA
2860,4874309,14.9,8.36,11.6,6.57,FALSE,NA
2860,6093676,-5.17,-5.31,-5.24,0.145,FALSE,NA
2860,6116608,-6.88,-8.08,-7.48,1.2,FALSE,NA
2860,1051498,6.47,2.53,4.5,3.94,FALSE,NA
2860,7270081,13.4,7.95,10.7,5.46,FALSE,NA
2860,7980820,17.8,16.2,17,1.61,FALSE,NA
2860,3024854,0.509,1.86,1.19,-1.35,FALSE,NA
2870,6461655,4.19,6.54,5.36,-2.35,FALSE,NA
2870,1911164,12.1,11.7,11.9,0.457,FALSE,NA
2870,2914237,-21.1,-19.4,-20.2,-1.71,FALSE,NA
2870,3448424,21.5,18.4,19.9,3.1,FALSE,NA
2870,9315474,18,17.8,17.9,0.258,FALSE,NA
2870,8438968,18.2,19.1,18.6,-0.846,FALSE,NA
2870,6738924,-6.07,-5.05,-5.56,-1.02,FALSE,NA
2870,7070586,-13.3,-14.6,-14,1.29,FALSE,NA
2870,7360745,-5.01,-2.04,-3.52,-2.96,FALSE,NA
2880,4069809,-11.2,-5.17,-8.19,-6.05,FALSE,NA
2880,2806607,-18,-24.3,-21.1,6.22,FALSE,NA
2880,9416981,-4.08,-12.7,-8.4,8.65,FALSE,NA
2880,7575649,22.9,20.4,21.6,2.59,FALSE,NA
2880,1131965,16.8,14,15.4,2.87,FALSE,NA
2880,1886869,-9.19,-8.13,-8.66,-1.05,FALSE,NA
2880,7884131,-4.63,-2.35,-3.49,-2.28,FALSE,NA
2880,7515773,-24,-21,-22.5,-3.03,FALSE,NA
2880,7938229,10.6,6.41,8.53,4.23,FALSE,NA
2880,6446072,11.6,10.3,10.9,1.29,FALSE,NA
2880,5616780,-1.87,-10.7,-6.27,8.8,FALSE,NA
2890,4826087,15.3,13.4,14.3,1.91,FALSE,NA
2890,1702419,-11,-2.74,-6.89,-8.29,FALSE,NA
2890,4028420,16,20.6,18.3,-4.59,FALSE,NA
2890,4081342,-8.61,0.916,-3.85,-9.52,FALSE,NA
2890,3472051,13.9,9.47,11.7,4.4,FALSE,NA
2890,4646269,17,16.2,16.6,0.849,FALSE,NA
2890,6705178,-4.45,-2.48,-3.47,-1.97,FALSE,NA
2890,6224533,-2.85,-8.23,-5.54,5.38,FALSE,NA
2890,6969515,10.1,10.1,10.1,-0.0498,FALSE,NA
2900,4175282,-8.21,-12.5,-10.4,4.29,FALSE,NA
2900,2577093,11.4,18.3,14.8,-6.93,FALSE,NA
2900,3854565,-0.43,-8.66,-4.54,8.23,FALSE,NA
2900,4728730,14.5,10.6,12.6,3.86,FALSE,NA
2900,6331593,-6.19,-17.2,-11.7,11,FALSE,NA
2900,3757089,-5.35,-9.92,-7.63,4.57,FALSE,NA
2900,3007247,-13.1,-13.9,-13.5,0.744,FALSE,NA
2900,1770403,11.9,16.9,14.4,-5.01,FALSE,NA
2900,5957153,10.8,4.23,7.54,6.61,FALSE,NA
2900,5294347,-15.8,-16.7,-16.3,0.981,FALSE,NA
2900,4235313,18.2,21.1,19.7,-2.9,FALSE,NA
2910,6688900,18.9,22.1,20.5,-3.21,FALSE,NA
2910,6613900,5.19,11.5,8.33,-6.28,FALSE,NA
2910,4463085,-0.956,5.51,2.28,-6.46,FALSE,NA
2910,2335363,-6.87,-16.2,-11.5,9.34,FALSE,NA
2910,1836185,-18.3,-16,-17.1,-2.31,FALSE,NA
2910,7903676,4.78,10.5,7.66,-5.77,FALSE,NA
2910,6132633,-8.91,-10.1,-9.48,1.15,FALSE,NA
2910,4218174,-21.8,-12.4,-17.1,-9.38,FALSE,NA
2910,5217089,2.91,2.3,2.6,0.612,FALSE,NA
2920,7504516,11.9,14.5,13.2,-2.58,FALSE,NA
2920,2434530,-8.3,-1.3,-4.8,-7.01,FALSE,NA
2920,9201670,6.1,9.76,7.93,-3.65,FALSE,NA
2920,5957461,13.6,20.7,17.2,-7.05,FALSE,NA
2920,7292607,9.4,7.57,8.49,1.83,FALSE,NA
2920,3304435,-12.8,-7.04,-9.9,-5.73,FALSE,NA
2920,9318299,-16.6,-11.9,-14.2,-4.63,FALSE,NA
2920,4421649,-7.98,-14,-11,6.01,FALSE,NA
2920,3090203,0.119,-6.01,-2.94,6.13,FALSE,NA
2920,6061317,10,5.04,7.54,4.99,FALSE,NA
2920,8080268,9.8,10.1,9.94,-0.273,FALSE,NA
2930,3863427,12.1,9.62,10.9,2.49,FALSE,NA
2930,9601627,-6.15,-8.08,-7.12,1.93,FALSE,NA
2930,9692878,-10.7,-5.93,-8.31,-4.75,FALSE,NA
2930,2697668,4.75,3.94,4.35,0.804,FALSE,NA
2930,3358233,-18.7,-21.3,-20,2.67,FALSE,NA
2930,1265683,7.95,11.2,9.59,-3.27,FALSE,NA
2930,9113267,-15.3,-22.3,-18.8,7.08,FALSE,NA
2930,1733644,-2.95,-2.66,-2.8,-0.288,FALSE,NA
2930,4545073,0.0995,5.24,2.67,-5.14,FALSE,NA
2940,1667903,5.38,8.85,7.12,-3.47,FALSE,NA
2940,2869574,6.96,6.71,6.84,0.251,FALSE,NA
2940,1829784,-9.25,-11,-10.1,1.79,FALSE,NA
2940,4788373,9.33,6.86,8.09,2.47,FALSE,NA
2940,4690508,-7.42,-8.65,-8.04,1.23,FALSE,NA
2940,4963923,-3.18,-13.2,-8.21,10.1,FALSE,NA
2940,7817310,-5.63,-6.08,-5.85,0.445,FALSE,NA
2940,6083145,8.14,14.6,11.3,-6.42,FALSE,NA
2940,1667476,-18.8,-10.7,-14.8,-8.09,FALSE,NA
2940,1685968,-18,-24.2,-21.1,6.2,FALSE,NA
2940,3002223,7.92,7.77,7.84,0.142,FALSE,NA
2950,6889417,11.3,5.63,8.44,5.62,FALSE,NA
2950,5486346,-13.2,-20.9,-17,7.7,FALSE,NA
2950,7786241,-4.1,-7.77,-5.94,3.68,FALSE,NA
2950,8996664,8.89,14.8,11.8,-5.87,FALSE,NA
2950,6370239,-4.09,-10.2,-7.14,6.09,FALSE,NA
2950,8950462,-14.4,-9.39,-11.9,-5.06,FALSE,NA
2950,2412133,-6.54,-22,-14.3,15.4,TRUE,2412133
2950,3834704,0.442,0.18,0.311,0.263,FALSE,NA
2950,6307678,1.48,-6.71,-2.62,8.2,FALSE,NA
2960,1533280,-12.8,-17.2,-15,4.37,FALSE,NA
2960,5795765,-14.1,-20.6,-17.3,6.55,FALSE,NA
2960,2198161,13.9,12.2,13.1,1.65,FALSE,NA
2960,6274623,13.6,18.6,16.1,-4.91,FALSE,NA
2960,6954541,-8.49,-2.22,-5.36,-6.28,FALSE,NA
2960,3038521,-11.9,-21,-16.4,9.1,FALSE,NA
2960,6166196,1.76,15,8.38,-13.2,TRUE,6166196
2960,6313093,-9.96,-5.88,-7.92,-4.08,FALSE,NA
2960,5301824,3.54,7.82,5.68,-4.28,FALSE,NA
2960,6610455,-8.1,-11.9,-10,3.82,FALSE,NA
2960,9179196,3.12,6.87,5,-3.75,FALSE,NA
2970,6191183,10.1,14.3,12.2,-4.22,FALSE,NA
2970,8385838,1.3,3.44,2.37,-2.14,FALSE,NA
2970,1103808,-3.59,-12.3,-7.96,8.74,FALSE,NA
2970,1039788,-5.9,-1.13,-3.52,-4.77,FALSE,NA
2970,2138197,-20.7,-17,-18.9,-3.77,FALSE,NA
2970,1348310,8.8,12.8,10.8,-4.02,FALSE,NA
2970,4056179,-14.1,-10.9,-12.5,-3.23,FALSE,NA
2970,6696358,8.96,4.12,6.54,4.84,FALSE,NA
2970,9287210,12.2,16.1,14.1,-3.91,FALSE,NA
2980,8760258,13.2,19,16.1,-5.87,FALSE,NA
2980,4673163,1.86,2.04,1.95,-0.176,FALSE,NA
2980,6253621,-12.2,-15.5,-13.8,3.25,FALSE,NA
2980,3948297,-6.87,-2.33,-4.6,-4.54,FALSE,NA
2980,9136799,21.6,27.1,24.3,-5.46,FALSE,NA
2980,8730416,2.45,-1.3,0.574,3.75,FALSE,NA
2980,1329780,-1.12,-2.05,-1.58,0.924,FALSE,NA
2980,2520563,-6.38,-9.77,-8.07,3.39,FALSE,NA
2980,1987556,-13.8,-10.3,-12,-3.48,FALSE,NA
2980,5932870,-8.31,-9.04,-8.67,0.728,FALSE,NA
2980,1413459,2.83,-1.4,0.712,4.23,FALSE,NA
2990,3781134,8.7,10.4,9.55,-1.69,FALSE,NA
2990,9599674,8.09,14,11.1,-5.95,FALSE,NA
2990,7028899,14.5,16.2,15.4,-1.75,FALSE,NA
2990,5560811,-7.45,-12.5,-9.95,5.02,FALSE,NA
2990,5313688,-13.7,-10.3,-12,-3.35,FALSE,NA
2990,4597421,-15.5,-15.4,-15.4,-0.149,FALSE,NA
2990,1429685,-3.84,-1.06,-2.45,-2.79,FALSE,NA
2990,4264885,1.17,-0.526,0.324,1.7,FALSE,NA
2990,5916376,-24.1,-14.6,-19.4,-9.49,FALSE,NA
3000,9056763,-5.04,-4.51,-4.78,-0.531,FALSE,NA
3000,3696613,-14.8,-10,-12.4,-4.75,FALSE,NA
3000,6466164,-14.6,-14.4,-14.5,-0.167,FALSE,NA
3000,3520947,15.5,16.7,16.1,-1.18,FALSE,NA
3000,3864225,-16.6,-15.4,-16,-1.16,FALSE,NA
3000,8937199,19.9,16.1,18,3.81,FALSE,NA
3000,7787466,10.8,18.3,14.6,-7.57,FALSE,NA
3000,8913727,-5.44,-0.615,-3.03,-4.82,FALSE,NA
3000,3468630,17,15.6,16.3,1.4,FALSE,NA
3000,2209353,-2.55,-0.55,-1.55,-2,FALSE,NA
3000,5339395,20.2,19.4,19.8,0.869,FALSE,NA
3010,5235838,-3.94,-9.51,-6.73,5.57,FALSE,NA
3010,2303725,9.62,11.4,10.5,-1.83,FALSE,NA
3010,8691495,1.48,6.96,4.22,-5.48,FALSE,NA
3010,6410946,1.5,4.62,3.06,-3.11,FALSE,NA
3010,7324719,-12.3,-17.2,-14.7,4.95,FALSE,NA
3010,2608444,6.92,12.6,9.76,-5.67,FALSE,NA
